token,name,title,text
#,Report,Rapport,"Dit is het kwartaalrapport. Het zal enkele belangrijke indicatoren belichten die van invloed zijn op de huidige toestand van het land. Bovendien kan er andere informatie zijn waarvan u op de hoogte moet zijn. Er kunnen zich dringende dilemma's voordoen die uw aandacht nodig hebben dit kwartaal. Hoe dan ook ... 'Ik zie dat je veel te doen hebt, dus ik laat je aan het werk. Ik weet zeker dat de regering nu in veilige handen is.'
,,,
#,Expenses,Uitgaven,"Deze grafiek toont een uitsplitsing van de overheidsuitgaven. U kunt op een afzonderlijk item klikken voor meer details. Houd er rekening mee dat de kosten van veel items in de loop van de tijd kunnen variëren, afhankelijk van verschillende factoren."
,,,
#,Income,Inkomen,"Deze grafiek toont een uitsplitsing van de overheidsinkomsten of -inkomsten. Als de inkomsten lager zijn dan de uitgaven, wordt het tekort of tekort aangevuld met overheidsleningen. Dit kan op korte termijn goed zijn, maar lenen verhoogt de staatsschuld. Alle schulden zullen oplopen rentebetalingen. U kunt op elk item klikken om meer details te zien."
,,,
#,Charts,Grafieken,"Het grafiekenscherm toont een aantal essentiële indicatoren voor uw economie in de loop van de tijd. De wereldeconomie zal uw eigen BBP beïnvloeden. Uw schuldniveau zou altijd een punt van zorg moeten zijn, want als het te hoog wordt, kan de obligatiemarkt nerveus worden en een hogere rente die zou kunnen leiden tot een schuldenspiraal."
,,,
#,Intel,Intel,"Dit is uw inlichtingenkamer. We houden toezicht op een aantal organisaties. Sommige zijn relatief ongevaarlijk, maar ze kunnen fungeren als 'toegangspoorten' tot meer extremistische, gevaarlijke groepen, dus we moeten hun lidmaatschap nog steeds in de gaten houden. Onze De kans dat aanvallen op de overheid worden voorkomen, is afhankelijk van het beveiligingsbeleid dat je hebt."
,,,
#,Polling, peiling,"Dit zijn de peilingsgegevens. Het toont regels voor elke kiezersgroep die aangeven hoe hun mening over de regering in de loop van de tijd is veranderd. U kunt elke regel in- en uitschakelen met de gekleurde knoppen en elke kiezersgroep bezoeken door op hun naam te klikken, maar laten we kom daar later op terug..."
#,Polling2, peiling,"Laten we de focusgroepen eens bekijken terwijl we hier zijn. Druk op de focusgroepknop."
#,FocusGroup,Focusgroep,"De individuen (onderaan in een rij) zijn lid van een willekeurige focusgroep. Klik op een individuele kiezer onderaan om informatie over hen te zien, of je kunt een nieuwe focusgroep maken met het ronde blauwe pictogram."
#,FocusGroup2,Focusgroep,"Voor elk individu laat dit diagram zien in welke mate ze zich associëren met elke kiezersgroep waarin ze zich bevinden, de mening die ze krijgen van die vereniging, en hoe dat allemaal samenkomt om de uiteindelijke mening te laten zien die ze hebben over uw regering."
#,FocusGroup3,Focusgroep,"Laten we nu eens kijken naar de populariteit van uw beleid in de peilingen. Druk op de beleidsknop."
,,,
,,,
#,Cabinet,Kastje,"Dit laat zien met wie je werkt in elk ministerie. Elke minister heeft een ander niveau van ervaring en loyaliteit, die beide in de loop van de tijd kunnen veranderen. Ervaren ministers zijn effectiever in hun werk. Ze kunnen beleid sneller en goedkoper implementeren Houd er rekening mee dat de loyaliteit van uw ministers in de loop van de tijd kan variëren."
#,Cabinet2,Kastje,"Ontrouwe ministers zullen minder politiek kapitaal leveren, dus u moet uiteindelijk misschien overwegen om sommigen te ontslaan, of misschien het kabinet volledig te herschikken. Houd er ook rekening mee dat elke minister populair is bij verschillende kiezersgroepen, dus als ze in het kabinet zitten, kunnen bepaalde kiezers behouden blijven." gelukkig, tot op zekere hoogte... "
#,Cabinet3,Kastje,"Ik laat u nu over aan de carrièrevooruitzichten van uw collega's. Vergeet niet dat u potentiële vervangende ministers altijd kunt zien voordat u iemand ontslaat..."
,,,
#,Polls, peilingen,"Deze grafiek toont een schatting van het percentage van het electoraat dat beweert dat ze op u zouden stemmen als er nu verkiezingen zouden zijn. Dit is mogelijk niet nauwkeurig, aangezien de opkomst waarschijnlijk niet 100% zal zijn. komen om te stemmen op de verkiezingsdag, tenzij het verplicht wordt gesteld."
,,,
,,,
#,Electioneering,Verkiezingen,"Dit is het 'verkiezingsscherm' waar je kunt kiezen tussen verschillende tabbladen om verschillende aspecten van je partij- en kandidatenkansen voor herverkiezing te bekijken! Sommige opties, zoals toespraken en manifesten zijn mogelijk pas vlak voor de verkiezingen van toepassing, dus het is waarschijnlijk het beste om je tot die tijd te concentreren op het besturen van het land."
#,Manifestos,manifesten,"Manifestbeloften zijn optioneel, maar als je op het laatste moment een boost nodig hebt voor de verkiezingen, kan het een goed idee zijn om grootse claims op het electoraat te doen. Wees gewaarschuwd dat als je WEL herkozen wordt, je door de kiezers gestraft zult worden als je breekt deze beloften."
#,Speeches, Toespraken,"Toespraken kunnen worden gehouden in de beurten voorafgaand aan de verkiezingen. Het positieve nieuws is dat dergelijke toespraken steun kunnen krijgen van kiezersgroepen zonder dat je echt echte voorstellen of beloften hoeft te doen. Het slechte nieuws is dat elke soundbite die je kiest zal waarschijnlijk sommige kiezers van streek maken en sommigen gelukkig maken, dus kies verstandig je soundbites."
#,Speech Results,Spraakresultaten,"Dit scherm toont u de resultaten van uw toespraak en illustreert hoe populair deze is bij een brede focusgroep van alle kiezers terwijl u van soundbite naar soundbite gaat. Hogere waarden zijn natuurlijk beter, maar weinig toespraken zullen u kunnen bekoren iedereen."
#,Fundraising, Fondsenwerving,"Het inzamelen van fondsen voor je verkiezingscampagne gebeurt deels via activisten, en deels via rijke donoren. Activisten sluiten zich aan en vertrekken na verloop van tijd op basis van jouw acties. Grote donateurs werken op dezelfde manier, maar je kunt hier hun stemming peilen en misschien hoofd- van het verliezen van een grote donor voordat ze te boos worden."
#,Perceptions, Percepties,"De perceptie van kiezers van je kandidaat en partij kan een belangrijke invloed hebben bij 'onbesliste' kiezers. In een ideale wereld zal je partij als hoog worden gezien in alle 3 de grote perceptiemetingen. In de praktijk verhindert je beleid dat waarschijnlijk, maar je kunt dit compenseren met media-evenementen. Verspil media-evenementen niet te ver van een verkiezing, want hun effecten zullen na verloop van tijd afnemen."
,,,
#,Happiness ,Geluk ,"Deze grafiek toont iedereen in deze kiezersgroep, en waar ze zich bevinden op het spectrum van geluk (groen) tot woede (rood). Kiezers zijn in veel verschillende groepen, dus het is niet alleen deze groep die hun mening beïnvloedt. Klikken op een persoon dot toont deze kiezer in het focusgroepscherm."
