token,name,title,text
#,NextTurn,Giliran Berikutnya,""Masih banyak lagi yang bisa dilihat, tapi kita akan membahasnya nanti. Setelah Anda menyelesaikan apa yang dapat Anda lakukan, atau ingin Anda lakukan dalam seperempat, inilah waktunya untuk mengakhiri belokan. Tekan tombol akhiri belokan di kanan atas layar."""
,,,
#,Report,Laporkan,""Ini adalah laporan triwulanan. Ini akan menyoroti beberapa indikator utama yang berdampak pada keadaan negara saat ini. Ditambah lagi mungkin ada informasi lain yang perlu Anda waspadai. Mungkin muncul dilema mendesak yang memerlukan perhatian Anda pada triwulan ini. Pokoknya ...Saya melihat banyak hal yang harus Anda selesaikan, jadi saya akan membiarkan Anda mulai bekerja. Saya yakin pemerintah berada di tangan yang aman sekarang."""
,,,
#,Expenses,Pengeluaran,""Bagan ini menunjukkan perincian pengeluaran pemerintah. Anda dapat mengklik masing-masing item untuk mengetahui detailnya. Perhatikan bahwa harga banyak item akan bervariasi dari waktu ke waktu, bergantung pada berbagai faktor."""
,,,
#,Income,Pendapatan,""Bagan ini menunjukkan perincian pendapatan atau pendapatan pemerintah. Jika pendapatan lebih kecil dari pengeluaran, kekurangan atau defisit akan dipenuhi dari pinjaman pemerintah. Hal ini mungkin baik-baik saja dalam jangka pendek tetapi pinjaman meningkatkan utang negara. Semua utang akan dikenakan pembayaran bunga. Anda dapat mengklik item mana pun untuk melihat detail lebih lanjut."""
,,,
#,Charts,Grafik,""Layar grafik menunjukkan sejumlah indikator penting bagi perekonomian Anda dari waktu ke waktu. Perekonomian global akan mempengaruhi PDB Anda sendiri. Tingkat utang Anda harus selalu menjadi perhatian, karena jika terlalu tinggi, pasar obligasi mungkin akan gelisah dan mengenakan tingkat bunga yang lebih tinggi yang dapat menyebabkan spiral utang."""
,,,
#,Intel,Intel, ""Ini adalah ruang pengarahan intelijen Anda. Kami memantau sejumlah organisasi. Beberapa di antaranya relatif tidak berbahaya, namun mereka dapat bertindak sebagai 'pintu gerbang' ke kelompok yang lebih ekstremis dan berbahaya, sehingga kami masih perlu mengawasi keanggotaan mereka . Peluang kami untuk mencegah serangan terhadap pemerintah akan bervariasi berdasarkan kebijakan keamanan yang Anda miliki."""
,,,
#,Polling,Jajak Pendapat,""Ini adalah data jajak pendapat. Ini menunjukkan garis-garis untuk setiap kelompok pemilih yang menunjukkan perubahan pendapat mereka terhadap pemerintah dari waktu ke waktu. Anda dapat mengaktifkan dan menonaktifkan setiap baris menggunakan tombol warna, dan mengunjungi setiap kelompok pemilih dengan mengklik nama mereka, tapi mari kita kembali lagi nanti..."""
#,Polling2,Jajak Pendapat, ""Mari kita periksa kelompok fokus selagi kita di sini. Tekan tombol grup fokus."""
#,FocusGroup,Kelompok yang terfokus,""Individu (berbaris di bawah) adalah anggota grup fokus acak. Klik pada masing-masing pemilih di bagian bawah untuk melihat informasi tentang mereka, atau Anda dapat membuat grup fokus baru dengan ikon lingkaran biru."""
#,FocusGroup2,Kelompok yang terfokus, ""Untuk setiap individu, diagram ini menunjukkan sejauh mana mereka berhubungan dengan masing-masing kelompok pemilih, pendapat yang mereka peroleh dari asosiasi tersebut, dan bagaimana semuanya bersatu untuk menunjukkan pendapat akhir yang mereka miliki terhadap pemerintahan Anda. """
#,FocusGroup3,Focus Group,""Sekarang mari kita lihat popularitas kebijakan Anda dalam jajak pendapat. Tekan tombol kebijakan."""
,,,
,,,
#,Cabinet,Kabinet,""Ini menunjukkan siapa saja yang bekerja di masing-masing departemen pemerintah. Setiap menteri akan memiliki tingkat pengalaman dan loyalitas yang berbeda, yang keduanya dapat berubah seiring berjalannya waktu. Menteri yang berpengalaman lebih efektif dalam pekerjaannya. Mereka dapat menerapkan kebijakan lebih cepat dan lebih murah. Sadarilah bahwa seiring berjalannya waktu, loyalitas menteri Anda mungkin berbeda-beda."""
#,Cabinet2,Kabinet, ""Menteri yang tidak loyal akan memberikan lebih sedikit modal politik, sehingga pada akhirnya Anda mungkin perlu mempertimbangkan untuk memecat beberapa menteri, atau mungkin merombak seluruh kabinet. Selain itu, ketahuilah bahwa masing-masing menteri populer di kalangan kelompok pemilih yang berbeda, sehingga menempatkan mereka di dalam kabinet mungkin akan membuat mereka tidak loyal. Pemilih tertentu senang, sampai batas tertentu..."""
#,Cabinet3,Cabinet,I'll leave you to decide the career prospects of your colleagues now. Don't forget you can always view potential replacement ministers before you fire anyone...
,,,
#,Polls,Jajak Pendapat, ""Bagan ini menunjukkan perkiraan persentase pemilih yang mengklaim bahwa mereka akan memilih Anda jika ada pemilu saat ini. Ini mungkin tidak akurat karena jumlah pemilih tidak mungkin mencapai 100%. Pemilih yang tidak memiliki pandangan yang kuat tidak boleh hadir untuk memberikan suara pada hari pemilihan, kecuali jika hal itu diwajibkan."""
,,,
,,,
#,Electioneering,Pemilu,""Ini adalah layar 'pemilihan' di mana Anda dapat memilih di antara berbagai tab untuk melihat berbagai aspek peluang partai dan kandidat Anda untuk terpilih kembali! Beberapa opsi, seperti pidato dan manifesto mungkin tidak berlaku hingga sebelum pemilu, jadi mungkin yang terbaik adalah berkonsentrasi menjalankan negara sampai saat itu tiba."""
#,Manifestos,Manifesto,""Janji-janji dalam manifesto bersifat opsional, namun jika Anda membutuhkan dukungan pada menit-menit terakhir sebelum pemilu, mengajukan tuntutan besar-besaran kepada para pemilih mungkin merupakan ide bagus. Berhati-hatilah karena jika Anda terpilih kembali, Anda akan dihukum oleh para pemilih jika Anda mengingkari janji-janji ini."""
#,Speeches,Pidato, ""Pidato dapat disampaikan secara bergiliran menjelang pemilu. Kabar positifnya adalah bahwa pidato semacam itu dapat mengumpulkan dukungan dari kelompok pemilih tanpa Anda harus benar-benar membuat usulan atau janji yang nyata. Kabar buruknya adalah bahwa setiap pidato dapat menghasilkan suara yang tidak masuk akal. pilihan Anda mungkin akan mengecewakan sebagian pemilih dan juga membuat sebagian senang, jadi pilihlah dengan bijak."""
#,Speech Results,Hasil Pidato,""Layar ini menampilkan hasil pidato Anda, mengilustrasikan betapa populernya pidato tersebut dengan kelompok fokus yang luas dari semua pemilih saat Anda beralih dari satu suara ke suara yang lain. Nilai yang lebih tinggi jelas lebih baik, tetapi hanya sedikit pidato yang akan berhasil. mampu menyenangkan semua orang."""
#,Fundraising,Penggalangan Dana,""Penggalangan dana untuk kampanye pemilu Anda dilakukan sebagian melalui aktivis, dan sebagian lagi melalui donor kaya. Aktivis bergabung dan keluar dari waktu ke waktu berdasarkan tindakan Anda. Donor Besar bekerja dengan cara yang sama, namun Anda dapat mengukur suasana hati mereka di sini dan mungkin untuk menghindari kehilangan donatur dalam jumlah besar sebelum mereka menjadi terlalu marah."""
#,Perceptions,Persepsi,""Persepsi pemilih terhadap kandidat dan partai Anda dapat memiliki pengaruh penting terhadap pemilih yang 'ragu-ragu'. Idealnya, partai Anda akan dianggap unggul dalam ketiga pengukuran persepsi utama. Dalam praktiknya, kebijakan Anda mungkin mencegah hal tersebut, namun Anda bisa ganti rugi dengan acara media. Jangan menyia-nyiakan acara media terlalu jauh dari pemilu, karena dampaknya akan hilang seiring berjalannya waktu."""
,,,
#,Happiness ,Kebahagiaan,""Bagan ini menunjukkan semua orang dalam kelompok pemilih ini, dan di mana mereka berada pada spektrum dari kebahagiaan (hijau) hingga kemarahan (merah). Para pemilih berada dalam berbagai kelompok, jadi bukan hanya kelompok ini yang mempengaruhi pendapat mereka. Klik pada satu titik akan menampilkan pemilih ini di dalam layar grup fokus."""
